"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"1. MorganBits"	"3. MACCS"	"AUROC"	" MOR"	" Scaffold"	0.00163783886534898	"ranksums"	"<0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"AUROC"	" MOR"	" Scaffold"	0.0147104444533948	"ranksums"	"<0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"AUROC"	" MOR"	" Scaffold"	5.22831602652652e-11	"ranksums"	"<0.05"
"1. MorganBits"	"4. AtomPairs"	"AUROC"	" MOR"	" Scaffold"	0.407711376645686	"ranksums"	">=0.05"
"2. MorganCounts"	"1. MorganBits"	"AUROC"	" MOR"	" Scaffold"	0.847587480259332	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"AUROC"	" MOR"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"AUROC"	" MOR"	" Scaffold"	0.00147961889644207	"ranksums"	"<0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"AUROC"	" MOR"	" Scaffold"	0.01246962531924	"ranksums"	"<0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"AUROC"	" MOR"	" Scaffold"	5.22831602652652e-11	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"AUROC"	" MOR"	" Scaffold"	0.351636969005001	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"AUROC"	" MOR"	" Scaffold"	0.00163783886534898	"ranksums"	"<0.05"
"3. MACCS"	"2. MorganCounts"	"AUROC"	" MOR"	" Scaffold"	0.00147961889644207	"ranksums"	"<0.05"
"3. MACCS"	"3. MACCS"	"AUROC"	" MOR"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"AUROC"	" MOR"	" Scaffold"	0.615195978744855	"ranksums"	">=0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"AUROC"	" MOR"	" Scaffold"	4.83886300051272e-10	"ranksums"	"<0.05"
"3. MACCS"	"4. AtomPairs"	"AUROC"	" MOR"	" Scaffold"	0.0371052625532809	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"AUROC"	" MOR"	" Scaffold"	0.0147104444533948	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"AUROC"	" MOR"	" Scaffold"	0.01246962531924	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"3. MACCS"	"AUROC"	" MOR"	" Scaffold"	0.615195978744855	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"AUROC"	" MOR"	" Scaffold"	1	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"AUROC"	" MOR"	" Scaffold"	7.73262969786879e-10	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"4. AtomPairs"	"AUROC"	" MOR"	" Scaffold"	0.0890916344277198	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"1. MorganBits"	"AUROC"	" MOR"	" Scaffold"	5.22831602652652e-11	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"2. MorganCounts"	"AUROC"	" MOR"	" Scaffold"	5.22831602652652e-11	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"3. MACCS"	"AUROC"	" MOR"	" Scaffold"	4.83886300051272e-10	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"0. RDKit Descriptors"	"AUROC"	" MOR"	" Scaffold"	7.73262969786879e-10	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"5. PhysChem Descriptors"	"AUROC"	" MOR"	" Scaffold"	1	"ranksums"	">=0.05"
