"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"0. RDKit Descriptors"	"4. AtomPairs"	"AUROC"	"HIV"	" Scaffold"	0.000366575678090335	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"1. MorganBits"	"AUROC"	"HIV"	" Scaffold"	1.26579577283706e-10	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"2. MorganCounts"	"AUROC"	"HIV"	" Scaffold"	5.77298630087336e-11	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"3. MACCS"	"AUROC"	"HIV"	" Scaffold"	1.94330131592334e-09	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"0. RDKit Descriptors"	"AUROC"	"HIV"	" Scaffold"	1.62655415638769e-08	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"5. PhysChem Descriptors"	"AUROC"	"HIV"	" Scaffold"	1	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"4. AtomPairs"	"AUROC"	"HIV"	" Scaffold"	1.26579577283706e-10	"ranksums"	"<0.05"
"4. AtomPairs"	"1. MorganBits"	"AUROC"	"HIV"	" Scaffold"	0.477919704209092	"ranksums"	">=0.05"
"4. AtomPairs"	"2. MorganCounts"	"AUROC"	"HIV"	" Scaffold"	0.178501674863836	"ranksums"	">=0.05"
"4. AtomPairs"	"3. MACCS"	"AUROC"	"HIV"	" Scaffold"	0.173777038979135	"ranksums"	">=0.05"
"4. AtomPairs"	"0. RDKit Descriptors"	"AUROC"	"HIV"	" Scaffold"	0.000366575678090335	"ranksums"	"<0.05"
"4. AtomPairs"	"5. PhysChem Descriptors"	"AUROC"	"HIV"	" Scaffold"	1.26579577283706e-10	"ranksums"	"<0.05"
"4. AtomPairs"	"4. AtomPairs"	"AUROC"	"HIV"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"1. MorganBits"	"RMSE"	"ESOL"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"RMSE"	"ESOL"	" Scaffold"	0.00172265702865928	"ranksums"	"<0.05"
"1. MorganBits"	"3. MACCS"	"RMSE"	"ESOL"	" Scaffold"	1.93121116964054e-05	"ranksums"	"<0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"RMSE"	"ESOL"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"RMSE"	"ESOL"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"1. MorganBits"	"4. AtomPairs"	"RMSE"	"ESOL"	" Scaffold"	0.000571543124125569	"ranksums"	"<0.05"
"2. MorganCounts"	"1. MorganBits"	"RMSE"	"ESOL"	" Scaffold"	0.00172265702865928	"ranksums"	"<0.05"
"2. MorganCounts"	"2. MorganCounts"	"RMSE"	"ESOL"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"RMSE"	"ESOL"	" Scaffold"	0.625630563965439	"ranksums"	">=0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"RMSE"	"ESOL"	" Scaffold"	1.26579577283706e-10	"ranksums"	"<0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"RMSE"	"ESOL"	" Scaffold"	4.28553928406064e-11	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"RMSE"	"ESOL"	" Scaffold"	0.477919704209092	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"RMSE"	"ESOL"	" Scaffold"	1.93121116964054e-05	"ranksums"	"<0.05"
"3. MACCS"	"2. MorganCounts"	"RMSE"	"ESOL"	" Scaffold"	0.625630563965439	"ranksums"	">=0.05"
"3. MACCS"	"3. MACCS"	"RMSE"	"ESOL"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"RMSE"	"ESOL"	" Scaffold"	3.87871447590138e-11	"ranksums"	"<0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"RMSE"	"ESOL"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"3. MACCS"	"4. AtomPairs"	"RMSE"	"ESOL"	" Scaffold"	0.813005287611997	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"RMSE"	"ESOL"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"RMSE"	"ESOL"	" Scaffold"	1.26579577283706e-10	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"3. MACCS"	"RMSE"	"ESOL"	" Scaffold"	3.87871447590138e-11	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"RMSE"	"ESOL"	" Scaffold"	1	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"RMSE"	"ESOL"	" Scaffold"	0.505859178079598	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"4. AtomPairs"	"RMSE"	"ESOL"	" Scaffold"	5.77298630087336e-11	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"1. MorganBits"	"RMSE"	"ESOL"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"2. MorganCounts"	"RMSE"	"ESOL"	" Scaffold"	4.28553928406064e-11	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"3. MACCS"	"RMSE"	"ESOL"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"0. RDKit Descriptors"	"RMSE"	"ESOL"	" Scaffold"	0.505859178079598	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"5. PhysChem Descriptors"	"RMSE"	"ESOL"	" Scaffold"	1	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"4. AtomPairs"	"RMSE"	"ESOL"	" Scaffold"	3.50975769680847e-11	"ranksums"	"<0.05"
"4. AtomPairs"	"1. MorganBits"	"RMSE"	"ESOL"	" Scaffold"	0.000571543124125569	"ranksums"	"<0.05"
"4. AtomPairs"	"2. MorganCounts"	"RMSE"	"ESOL"	" Scaffold"	0.477919704209092	"ranksums"	">=0.05"
