"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
" RNN"	"   RF"	"RMSE"	" CYP2D6"	"random"	3.17521724866798e-11	"ranksums"	"<0.05"
" RNN"	"   SVM"	"RMSE"	" CYP2D6"	"random"	1.69058805096499e-05	"ranksums"	"<0.05"
" RNN"	"   XGBoost"	"RMSE"	" CYP2D6"	"random"	4.73402068419889e-11	"ranksums"	"<0.05"
" RNN"	" RNN"	"RMSE"	" CYP2D6"	"random"	1	"ranksums"	">=0.05"
" RNN"	"GCN"	"RMSE"	" CYP2D6"	"random"	3.50975769680847e-11	"ranksums"	"<0.05"
" RNN"	"GIN"	"RMSE"	" CYP2D6"	"random"	3.17521724866798e-11	"ranksums"	"<0.05"
" RNN"	"  MolBERT"	"RMSE"	" CYP2D6"	"random"	2.06342813021692e-05	"ranksums"	"<0.05"
" RNN"	"GROVER"	"RMSE"	" CYP2D6"	"random"	0.43328979562189	"ranksums"	">=0.05"
"GCN"	"   RF"	"RMSE"	" CYP2D6"	"random"	0.733825061212641	"ranksums"	">=0.05"
"GCN"	"   SVM"	"RMSE"	" CYP2D6"	"random"	3.64317105026695e-10	"ranksums"	"<0.05"
"GCN"	"   XGBoost"	"RMSE"	" CYP2D6"	"random"	0.00190453216444955	"ranksums"	"<0.05"
"GCN"	" RNN"	"RMSE"	" CYP2D6"	"random"	3.50975769680847e-11	"ranksums"	"<0.05"
"GCN"	"GCN"	"RMSE"	" CYP2D6"	"random"	1	"ranksums"	">=0.05"
"GCN"	"GIN"	"RMSE"	" CYP2D6"	"random"	0.120574992260229	"ranksums"	">=0.05"
"GCN"	"  MolBERT"	"RMSE"	" CYP2D6"	"random"	3.01189371187134e-10	"ranksums"	"<0.05"
"GCN"	"GROVER"	"RMSE"	" CYP2D6"	"random"	2.05326829901647e-10	"ranksums"	"<0.05"
"GIN"	"   RF"	"RMSE"	" CYP2D6"	"random"	0.236906642783316	"ranksums"	">=0.05"
"GIN"	"   SVM"	"RMSE"	" CYP2D6"	"random"	1.04155088815095e-10	"ranksums"	"<0.05"
"GIN"	"   XGBoost"	"RMSE"	" CYP2D6"	"random"	7.42541973836634e-05	"ranksums"	"<0.05"
"GIN"	" RNN"	"RMSE"	" CYP2D6"	"random"	3.17521724866798e-11	"ranksums"	"<0.05"
"GIN"	"GCN"	"RMSE"	" CYP2D6"	"random"	0.120574992260229	"ranksums"	">=0.05"
"GIN"	"GIN"	"RMSE"	" CYP2D6"	"random"	1	"ranksums"	">=0.05"
"GIN"	"  MolBERT"	"RMSE"	" CYP2D6"	"random"	1.04155088815095e-10	"ranksums"	"<0.05"
"GIN"	"GROVER"	"RMSE"	" CYP2D6"	"random"	1.1483348024864e-10	"ranksums"	"<0.05"
"  MolBERT"	"   RF"	"RMSE"	" CYP2D6"	"random"	1.04155088815095e-10	"ranksums"	"<0.05"
"  MolBERT"	"   SVM"	"RMSE"	" CYP2D6"	"random"	0.964622805113689	"ranksums"	">=0.05"
"  MolBERT"	"   XGBoost"	"RMSE"	" CYP2D6"	"random"	1.15127886155174e-08	"ranksums"	"<0.05"
"  MolBERT"	" RNN"	"RMSE"	" CYP2D6"	"random"	2.06342813021692e-05	"ranksums"	"<0.05"
"  MolBERT"	"GCN"	"RMSE"	" CYP2D6"	"random"	3.01189371187134e-10	"ranksums"	"<0.05"
"  MolBERT"	"GIN"	"RMSE"	" CYP2D6"	"random"	1.04155088815095e-10	"ranksums"	"<0.05"
"  MolBERT"	"  MolBERT"	"RMSE"	" CYP2D6"	"random"	1	"ranksums"	">=0.05"
"  MolBERT"	"GROVER"	"RMSE"	" CYP2D6"	"random"	0.00358511685987855	"ranksums"	"<0.05"
"GROVER"	"   RF"	"RMSE"	" CYP2D6"	"random"	1.86472615897586e-10	"ranksums"	"<0.05"
"GROVER"	"   SVM"	"RMSE"	" CYP2D6"	"random"	0.00147961889644207	"ranksums"	"<0.05"
"GROVER"	"   XGBoost"	"RMSE"	" CYP2D6"	"random"	2.12839236281228e-09	"ranksums"	"<0.05"
"GROVER"	" RNN"	"RMSE"	" CYP2D6"	"random"	0.43328979562189	"ranksums"	">=0.05"
"GROVER"	"GCN"	"RMSE"	" CYP2D6"	"random"	2.05326829901647e-10	"ranksums"	"<0.05"
"GROVER"	"GIN"	"RMSE"	" CYP2D6"	"random"	1.1483348024864e-10	"ranksums"	"<0.05"
"GROVER"	"  MolBERT"	"RMSE"	" CYP2D6"	"random"	0.00358511685987855	"ranksums"	"<0.05"
"GROVER"	"GROVER"	"RMSE"	" CYP2D6"	"random"	1	"ranksums"	">=0.05"
"   RF"	"   RF"	"RMSE"	" CYP3A4"	"random"	1	"ranksums"	">=0.05"
"   RF"	"   SVM"	"RMSE"	" CYP3A4"	"random"	7.76173468960547e-11	"ranksums"	"<0.05"
"   RF"	"   XGBoost"	"RMSE"	" CYP3A4"	"random"	1.41526719916689e-07	"ranksums"	"<0.05"
"   RF"	" RNN"	"RMSE"	" CYP3A4"	"random"	3.87871447590138e-11	"ranksums"	"<0.05"
