"split_type"	"mol_rep"	"mol_prop"	"model_name"	"mean_metric_score.RMSE"	"std_metric_score.RMSE"	"mean_metric_score.MAE"	"std_metric_score.MAE"	"mean_metric_score.R2"	"std_metric_score.R2"	"mean_metric_score.Pearson_R"	"std_metric_score.Pearson_R"
"Scaffold"	"2. MorganCounts"	" CYP3A4"	"XGBoost"	1.67988193694001	0.160099998362176	1.27469079335839	0.105111066591905	0.332294381690263	0.0978650869242853	0.587556117630596	0.0893267411594327
"Scaffold"	"3. MACCS"	" CYP3A4"	"XGBoost"	1.76067370587125	0.190723225657738	1.33680482736502	0.129049445415534	0.269905406882877	0.0959273453297868	0.524474117006667	0.0907929946158667
"Scaffold"	"0. RDKit Descriptors"	" CYP3A4"	"XGBoost"	1.73089246607561	0.175936487927314	1.30061874065691	0.134274701855343	0.292289052064941	0.100484006427575	0.546990258678661	0.089236341549396
"Scaffold"	"5. PhysChem Descriptors"	" CYP3A4"	"XGBoost"	1.90453788044995	0.184677042805036	1.44593904695286	0.113848132784487	0.147733151920959	0.0763743533042166	0.403933768760211	0.083263750631895
"Scaffold"	"4. AtomPairs"	" CYP3A4"	"XGBoost"	1.66033446292758	0.165705488550895	1.25521701425704	0.130692478950946	0.348931299343184	0.0923119965022939	0.596165161516756	0.0787951619429317
"Scaffold"	"1. MorganBits"	" MOR"	"RF"	1.95384741690146	0.272247944582247	1.41330184207697	0.183237576229955	0.556470452093565	0.115632589309757	0.751909150374095	0.0713590627563857
"Scaffold"	"2. MorganCounts"	" MOR"	"RF"	1.94692690012289	0.234954334596251	1.41122739717879	0.163020119950119	0.56112603464429	0.0960430722643694	0.753263208285629	0.0619241522497965
"Scaffold"	"3. MACCS"	" MOR"	"RF"	2.0960754781356	0.206652728634306	1.56780908050435	0.137467963717812	0.49378225974848	0.0854860155529745	0.709342004176787	0.0580031783440361
"Scaffold"	"0. RDKit Descriptors"	" MOR"	"RF"	2.05329324817493	0.198471392556142	1.53859135999268	0.133780959734384	0.514000780856736	0.0815612255776413	0.723447516851468	0.0585256758655379
"Scaffold"	"5. PhysChem Descriptors"	" MOR"	"RF"	2.48739998826924	0.201085926669433	1.91626937235427	0.155989369914229	0.291122357072217	0.0731577676812181	0.550458976529192	0.0578349674348081
"Scaffold"	"4. AtomPairs"	" MOR"	"RF"	1.94341629907485	0.206311321237271	1.4395755467211	0.154027334246254	0.564799502859233	0.0767341435161541	0.757730821503852	0.0527308211943405
"Scaffold"	"1. MorganBits"	" MOR"	"SVM"	2.36914586230709	0.17849233945137	1.78545779012006	0.115103625881919	0.350631351382253	0.110930574366811	0.674026840049096	0.0472215022547813
"Scaffold"	"2. MorganCounts"	" MOR"	"SVM"	2.42499777615765	0.189422606497603	1.8263708638337	0.124398644834269	0.316433570096945	0.137837159508558	0.65996947466004	0.0586254256765674
"Scaffold"	"3. MACCS"	" MOR"	"SVM"	2.63314855982041	0.243858813760252	2.0521015866011	0.1751869325756	0.202926017277402	0.116367709841042	0.503863525561131	0.085270825628275
"Scaffold"	"0. RDKit Descriptors"	" MOR"	"SVM"	2.44578705346522	0.225748177708605	1.86269053056548	0.175492339094361	0.312001193859309	0.103313587412055	0.588172498633064	0.0724248074497004
"Scaffold"	"5. PhysChem Descriptors"	" MOR"	"SVM"	4.22773897567051	1.720820776862	3.36856701711993	1.50063056957899	-1.39681679868637	2.19769462399263	0.307664178646259	0.102412640078939
"Scaffold"	"4. AtomPairs"	" MOR"	"SVM"	3.53907585761855	0.316886184452441	2.50334624724291	0.194042328287119	-0.462895303950393	0.347955026908309	0.494291772751858	0.0854843933525922
"Scaffold"	"1. MorganBits"	" MOR"	"XGBoost"	2.14266009977985	0.207677260725599	1.65406294378109	0.165711003827074	0.47275582193574	0.0762382696663606	0.701053339199613	0.060196213652022
"Scaffold"	"2. MorganCounts"	" MOR"	"XGBoost"	2.1149914624953	0.185197886301327	1.62620966712463	0.144253448073411	0.486649624618331	0.0655455865877125	0.710644304096254	0.0510261938645896
"Scaffold"	"3. MACCS"	" MOR"	"XGBoost"	2.33137369921797	0.186642748250472	1.83014631402354	0.138772925695868	0.375554745767548	0.0784313881953672	0.624260510644961	0.0648676388974027
"Scaffold"	"0. RDKit Descriptors"	" MOR"	"XGBoost"	2.22425267215526	0.207815783970734	1.72059814021047	0.144634408787548	0.431241693199688	0.0842092103805553	0.666228761401019	0.0663241090036833
"Scaffold"	"5. PhysChem Descriptors"	" MOR"	"XGBoost"	2.61454226972098	0.183777793243052	2.08418491558117	0.140765209221386	0.217766355104505	0.0571495018273863	0.480150775989935	0.0598835219770932
"Scaffold"	"4. AtomPairs"	" MOR"	"XGBoost"	2.06613618745612	0.194039483892904	1.57566413882284	0.149552820286276	0.509432141945268	0.0713178254001556	0.722847614839877	0.0523403062357013
"Scaffold"	"1. MorganBits"	"DOR"	"RF"	1.94192681882938	0.221099455444656	1.42692550383745	0.170665758105174	0.585108542925467	0.0959207829023396	0.772054366482636	0.0583220545777913
"Scaffold"	"2. MorganCounts"	"DOR"	"RF"	1.94784349357692	0.224365776608633	1.43257632488612	0.174654723266241	0.581387384048053	0.10289528859163	0.769203962052406	0.0628067740531448
"Scaffold"	"3. MACCS"	"DOR"	"RF"	2.18042881814174	0.200343208104059	1.64208051565248	0.157810409926888	0.478628457605887	0.10400827832738	0.701315122267206	0.0676016536964787
"Scaffold"	"0. RDKit Descriptors"	"DOR"	"RF"	2.12459316148105	0.24874915588344	1.60829694696299	0.189548888095941	0.502377562062655	0.123360089996027	0.714865421012449	0.0844235382835924
"Scaffold"	"5. PhysChem Descriptors"	"DOR"	"RF"	2.59485028018038	0.210092068408932	1.99819999206236	0.197593381253758	0.265712647879134	0.112886831621678	0.539686281994154	0.0854998204032232
"Scaffold"	"4. AtomPairs"	"DOR"	"RF"	1.9336736075734	0.162414189073811	1.47299515913084	0.146763884665755	0.590303839970783	0.0743563949920838	0.775098735989259	0.0478937559202464
"Scaffold"	"1. MorganBits"	"DOR"	"SVM"	2.30928791971365	0.251846979835215	1.74140804306453	0.136716170796777	0.410809519000841	0.150023632776435	0.714505093227581	0.0609160927358082
