"split_type"	"mol_rep"	"mol_prop"	"model_name"	"mean_metric_score.AUROC"	"std_metric_score.AUROC"	"mean_metric_score.AUPRC"	"std_metric_score.AUPRC"	"mean_metric_score.Precision_PPV"	"std_metric_score.Precision_PPV"	"mean_metric_score.Precision_NPV"	"std_metric_score.Precision_NPV"
"Scaffold"	"0. RDKit Descriptors"	" CYP3A4"	"XGBoost"	0.805965374716332	0.141393481503897	0.354604057358783	0.199864881129531	0.254990991027786	0.268461055063362	0.991028283002195	0.0060505709607143
"Scaffold"	"5. PhysChem Descriptors"	" CYP3A4"	"XGBoost"	0.78008291426908	0.12925372929566	0.206241644974156	0.218764365822319	0.141386333470205	0.199810891215008	0.990143295450712	0.007929802049695
"Scaffold"	"4. AtomPairs"	" CYP3A4"	"XGBoost"	0.811813283544867	0.136533651457472	0.262719631798378	0.18119794306534	0.164337771371863	0.174380501030061	0.988603111995582	0.0095137261264448
"Scaffold"	"1. MorganBits"	" MOR"	"RF"	0.912695457972375	0.0332412458406193	0.822849118440397	0.0854659497631689	0.649243837941301	0.127268444556516	0.945429449541444	0.0326728423329102
"Scaffold"	"2. MorganCounts"	" MOR"	"RF"	0.914061949333889	0.03230676266894	0.825691222737792	0.0827457082859119	0.666188034041307	0.118201844468897	0.942268941605072	0.0289006356542225
"Scaffold"	"3. MACCS"	" MOR"	"RF"	0.883761589105804	0.034532114487105	0.764625575293707	0.0960396193153973	0.641527280111908	0.121177932187681	0.927670054088972	0.0386203162578659
"Scaffold"	"0. RDKit Descriptors"	" MOR"	"RF"	0.890031030203798	0.0381333607608401	0.792391326237301	0.0840132315334692	0.684175142783324	0.116345912062338	0.914383037004124	0.0304148226365903
"Scaffold"	"5. PhysChem Descriptors"	" MOR"	"RF"	0.793671608389932	0.0366885877676287	0.654907535586229	0.0867313732507776	0.566883741755729	0.101363409963836	0.862566727303231	0.0410112156660176
"Scaffold"	"4. AtomPairs"	" MOR"	"RF"	0.90490888966968	0.036580875415372	0.811661660424271	0.0867187087914998	0.665111088170634	0.117322209902436	0.92654267644825	0.0295301172673884
"Scaffold"	"1. MorganBits"	" MOR"	"SVM"	0.884869108771716	0.0383437519780057	0.773899841031257	0.0913298757998124	0.633532313421723	0.108954112597151	0.920163848400218	0.0355825740163252
"Scaffold"	"2. MorganCounts"	" MOR"	"SVM"	0.879317234096394	0.03780701641041	0.757274798703565	0.0935083857190751	0.625017656230837	0.12949855456136	0.916994097261295	0.037448906359791
"Scaffold"	"3. MACCS"	" MOR"	"SVM"	0.799187851415821	0.0508697778492107	0.640116347299514	0.115159572399313	0.564091549510451	0.123767044194868	0.87001685336471	0.0448463235923299
"Scaffold"	"0. RDKit Descriptors"	" MOR"	"SVM"	0.838610753876913	0.0452074878153114	0.679857873333703	0.0991168063592653	0.588685169870436	0.118141965445688	0.893145325347657	0.0449667832370871
"Scaffold"	"5. PhysChem Descriptors"	" MOR"	"SVM"	0.734157435512709	0.057571195812111	0.49124602039673	0.114628455449589	0.480732577686262	0.0999830142024457	0.854286486696913	0.0422919948338975
"Scaffold"	"4. AtomPairs"	" MOR"	"SVM"	0.836567688586795	0.0465482588186686	0.702689926489156	0.111094520931571	0.593885149880213	0.126208592460926	0.893608081616913	0.0353622180748756
"Scaffold"	"1. MorganBits"	" MOR"	"XGBoost"	0.892292709037131	0.0392076905828353	0.785752636567532	0.100185284596955	0.632467908617145	0.125681960931149	0.930129181283835	0.0366038333216585
