"fold"	"mol_prop"	"split_type"	"sim_type"	"sim"
7	" BACE"	"Random"	"Training vs Test"	0.787139818856591
8	" BACE"	"Random"	"Training vs Test"	0.794099884009675
9	" BACE"	"Random"	"Training vs Test"	0.78562158738312
10	" BACE"	"Random"	"Training vs Test"	0.788187085895946
11	" BACE"	"Random"	"Training vs Test"	0.789508821148621
12	" BACE"	"Random"	"Training vs Test"	0.804078904813842
13	" BACE"	"Random"	"Training vs Test"	0.809267246017331
14	" BACE"	"Random"	"Training vs Test"	0.791802329452414
15	" BACE"	"Random"	"Training vs Test"	0.796054276980852
16	" BACE"	"Random"	"Training vs Test"	0.788941237291223
17	" BACE"	"Random"	"Training vs Test"	0.778610091852514
18	" BACE"	"Random"	"Training vs Test"	0.813052448198984
19	" BACE"	"Random"	"Training vs Test"	0.791864904329965
20	" BACE"	"Random"	"Training vs Test"	0.78571451563192
21	" BACE"	"Random"	"Training vs Test"	0.803341146754591
22	" BACE"	"Random"	"Training vs Test"	0.789854260651689
23	" BACE"	"Random"	"Training vs Test"	0.783044642523715
24	" BACE"	"Random"	"Training vs Test"	0.788924984829991
25	" BACE"	"Random"	"Training vs Test"	0.78237564626493
26	" BACE"	"Random"	"Training vs Test"	0.779704796444429
27	" BACE"	"Random"	"Training vs Test"	0.779572655986014
28	" BACE"	"Random"	"Training vs Test"	0.80211071611235
29	" BACE"	"Random"	"Training vs Test"	0.788373378742682
0	" BBBP"	"Random"	"Training vs Test"	0.583391536830687
1	" BBBP"	"Random"	"Training vs Test"	0.574967264325595
2	" BBBP"	"Random"	"Training vs Test"	0.578962563299665
3	" BBBP"	"Random"	"Training vs Test"	0.603999515155367
4	" BBBP"	"Random"	"Training vs Test"	0.598546462827453
5	" BBBP"	"Random"	"Training vs Test"	0.609176757288914
6	" BBBP"	"Random"	"Training vs Test"	0.580004612970002
7	" BBBP"	"Random"	"Training vs Test"	0.593024146432678
8	" BBBP"	"Random"	"Training vs Test"	0.568876759167395
9	" BBBP"	"Random"	"Training vs Test"	0.575885114278279
10	" BBBP"	"Random"	"Training vs Test"	0.604632446469337
11	" BBBP"	"Random"	"Training vs Test"	0.577900844571345
12	" BBBP"	"Random"	"Training vs Test"	0.614826179529522
13	" BBBP"	"Random"	"Training vs Test"	0.597628436909587
14	" BBBP"	"Random"	"Training vs Test"	0.601947180415485
15	" BBBP"	"Random"	"Training vs Test"	0.592770962300254
16	" BBBP"	"Random"	"Training vs Test"	0.599172270181132
17	" BBBP"	"Random"	"Training vs Test"	0.589208746146338
18	" BBBP"	"Random"	"Training vs Test"	0.564061384940264
19	" BBBP"	"Random"	"Training vs Test"	0.605273504686706
20	" BBBP"	"Random"	"Training vs Test"	0.598183076828718
21	" BBBP"	"Random"	"Training vs Test"	0.579556002811182
22	" BBBP"	"Random"	"Training vs Test"	0.571785554801132
23	" BBBP"	"Random"	"Training vs Test"	0.600947987945641
24	" BBBP"	"Random"	"Training vs Test"	0.597225236359472
25	" BBBP"	"Random"	"Training vs Test"	0.56868392210819
26	" BBBP"	"Random"	"Training vs Test"	0.597099950062294
27	" BBBP"	"Random"	"Training vs Test"	0.592618542778141
28	" BBBP"	"Random"	"Training vs Test"	0.607371440851221
29	" BBBP"	"Random"	"Training vs Test"	0.615338206364244
0	" HIV"	"Random"	"Training vs Test"	0.614169176520294
1	" HIV"	"Random"	"Training vs Test"	0.616745050577186
2	" HIV"	"Random"	"Training vs Test"	0.620564512129526
3	" HIV"	"Random"	"Training vs Test"	0.615498744641491
4	" HIV"	"Random"	"Training vs Test"	0.61162697991373
5	" HIV"	"Random"	"Training vs Test"	0.616064246835397
6	" HIV"	"Random"	"Training vs Test"	0.613821484592313
7	" HIV"	"Random"	"Training vs Test"	0.607063290881119
8	" HIV"	"Random"	"Training vs Test"	0.618101207387728
9	" HIV"	"Random"	"Training vs Test"	0.611218289087904
10	" HIV"	"Random"	"Training vs Test"	0.616316069565114
11	" HIV"	"Random"	"Training vs Test"	0.61378037971561
12	" HIV"	"Random"	"Training vs Test"	0.613230878314687
13	" HIV"	"Random"	"Training vs Test"	0.616039930060488
14	" HIV"	"Random"	"Training vs Test"	0.61734058022673
15	" HIV"	"Random"	"Training vs Test"	0.61858622369839
16	" HIV"	"Random"	"Training vs Test"	0.616241847776074
17	" HIV"	"Random"	"Training vs Test"	0.615524599279274
18	" HIV"	"Random"	"Training vs Test"	0.613105152036887
19	" HIV"	"Random"	"Training vs Test"	0.615579616710446
20	" HIV"	"Random"	"Training vs Test"	0.614528806002912
21	" HIV"	"Random"	"Training vs Test"	0.616496145616562
22	" HIV"	"Random"	"Training vs Test"	0.618854207914878
23	" HIV"	"Random"	"Training vs Test"	0.614416813407679
24	" HIV"	"Random"	"Training vs Test"	0.616210615771865
25	" HIV"	"Random"	"Training vs Test"	0.619090485240953
26	" HIV"	"Random"	"Training vs Test"	0.617815521992009
27	" HIV"	"Random"	"Training vs Test"	0.612535085468405
28	" HIV"	"Random"	"Training vs Test"	0.61552123289212
29	" HIV"	"Random"	"Training vs Test"	0.610367932385651
0	"ESOL"	"Random"	"Training vs Test"	0.571322895784294
1	"ESOL"	"Random"	"Training vs Test"	0.592918562018766
2	"ESOL"	"Random"	"Training vs Test"	0.529085779216437
3	"ESOL"	"Random"	"Training vs Test"	0.580772866981219
4	"ESOL"	"Random"	"Training vs Test"	0.561156655571102
5	"ESOL"	"Random"	"Training vs Test"	0.541565486815123
6	"ESOL"	"Random"	"Training vs Test"	0.550553813312961
7	"ESOL"	"Random"	"Training vs Test"	0.567825097359915
8	"ESOL"	"Random"	"Training vs Test"	0.588266176657867
9	"ESOL"	"Random"	"Training vs Test"	0.554446337233602
10	"ESOL"	"Random"	"Training vs Test"	0.57320138719757
11	"ESOL"	"Random"	"Training vs Test"	0.579292571254536
12	"ESOL"	"Random"	"Training vs Test"	0.60414908246129
13	"ESOL"	"Random"	"Training vs Test"	0.553181514935156
14	"ESOL"	"Random"	"Training vs Test"	0.550215570800072
15	"ESOL"	"Random"	"Training vs Test"	0.558702326981367
16	"ESOL"	"Random"	"Training vs Test"	0.566981000578509
17	"ESOL"	"Random"	"Training vs Test"	0.576504126323008
18	"ESOL"	"Random"	"Training vs Test"	0.596050811684237
