"fold"	"D_statistic"	"p_value"	"split_type"	"mol_prop"	"group"
8	0.0504106280193237	0.901028314869261	"Random"	"  MDR1"	" Training vs Validation"
9	0.0597705314009662	0.750465219927475	"Random"	"  MDR1"	" Training vs Validation"
10	0.0959057971014493	0.189773735000379	"Random"	"  MDR1"	" Training vs Validation"
11	0.0664251207729468	0.624740237890135	"Random"	"  MDR1"	" Training vs Validation"
12	0.0570652173913044	0.798859928721571	"Random"	"  MDR1"	" Training vs Validation"
13	0.0551811594202899	0.830648995710072	"Random"	"  MDR1"	" Training vs Validation"
14	0.0746859903381643	0.473109566012646	"Random"	"  MDR1"	" Training vs Validation"
15	0.0541183574879228	0.847699986166264	"Random"	"  MDR1"	" Training vs Validation"
16	0.0449516908212561	0.958231707698685	"Random"	"  MDR1"	" Training vs Validation"
17	0.0840096618357489	0.327044729972514	"Random"	"  MDR1"	" Training vs Validation"
18	0.064951690821256	0.652835205335818	"Random"	"  MDR1"	" Training vs Validation"
19	0.0702415458937199	0.552927402956592	"Random"	"  MDR1"	" Training vs Validation"
20	0.114347826086956	0.0704002385429716	"Random"	"  MDR1"	" Training vs Validation"
21	0.104891304347826	0.119662194737053	"Random"	"  MDR1"	" Training vs Validation"
22	0.134432367149758	0.0195964346347578	"Random"	"  MDR1"	" Training vs Validation"
23	0.0823188405797101	0.351071414171566	"Random"	"  MDR1"	" Training vs Validation"
24	0.0865458937198067	0.293149268375028	"Random"	"  MDR1"	" Training vs Validation"
25	0.0679347826086956	0.59609869477335	"Random"	"  MDR1"	" Training vs Validation"
26	0.0510386473429952	0.892742277284558	"Random"	"  MDR1"	" Training vs Validation"
27	0.0847705314009662	0.316605244842975	"Random"	"  MDR1"	" Training vs Validation"
28	0.0520048309178744	0.879371836981371	"Random"	"  MDR1"	" Training vs Validation"
29	0.0807125603864735	0.37494371007239	"Random"	"  MDR1"	" Training vs Validation"
0	0.182278860569715	0.000384563137607596	"Scaffold"	"  MDR1"	" Training vs Validation"
1	0.206056971514243	3.56629834714628e-05	"Scaffold"	"  MDR1"	" Training vs Validation"
2	0.0615592203898051	0.713664670747859	"Scaffold"	"  MDR1"	" Training vs Validation"
3	0.0831484257871064	0.335514430010526	"Scaffold"	"  MDR1"	" Training vs Validation"
4	0.0795802098950525	0.388561430812837	"Scaffold"	"  MDR1"	" Training vs Validation"
5	0.268935532233883	1.62857598517974e-08	"Scaffold"	"  MDR1"	" Training vs Validation"
6	0.169055472263868	0.0012722519757089	"Scaffold"	"  MDR1"	" Training vs Validation"
7	0.0910044977511245	0.236613692430991	"Scaffold"	"  MDR1"	" Training vs Validation"
8	0.113073463268366	0.0743056389286961	"Scaffold"	"  MDR1"	" Training vs Validation"
9	0.1647976011994	0.00183467400633441	"Scaffold"	"  MDR1"	" Training vs Validation"
10	0.12311844077961	0.0403354836963055	"Scaffold"	"  MDR1"	" Training vs Validation"
11	0.199790104947526	6.86560813615289e-05	"Scaffold"	"  MDR1"	" Training vs Validation"
12	0.100059970014992	0.151727457462331	"Scaffold"	"  MDR1"	" Training vs Validation"
13	0.220119940029985	7.61912669233755e-06	"Scaffold"	"  MDR1"	" Training vs Validation"
14	0.211064467766117	2.08260326207688e-05	"Scaffold"	"  MDR1"	" Training vs Validation"
15	0.0584107946026987	0.771905588046849	"Scaffold"	"  MDR1"	" Training vs Validation"
16	0.158200899550225	0.00317589705995047	"Scaffold"	"  MDR1"	" Training vs Validation"
17	0.0855172413793103	0.303106263411368	"Scaffold"	"  MDR1"	" Training vs Validation"
18	0.0457871064467766	0.950034268506463	"Scaffold"	"  MDR1"	" Training vs Validation"
19	0.0748125937031485	0.466944225328002	"Scaffold"	"  MDR1"	" Training vs Validation"
20	0.0943628185907047	0.201693126001696	"Scaffold"	"  MDR1"	" Training vs Validation"
21	0.0951724137931034	0.193900566933469	"Scaffold"	"  MDR1"	" Training vs Validation"
22	0.0896551724137931	0.25185683939269	"Scaffold"	"  MDR1"	" Training vs Validation"
23	0.112593703148426	0.0764062138141134	"Scaffold"	"  MDR1"	" Training vs Validation"
24	0.134092953523238	0.0194976491612165	"Scaffold"	"  MDR1"	" Training vs Validation"
25	0.0528035982008996	0.865358962043001	"Scaffold"	"  MDR1"	" Training vs Validation"
26	0.19832083958021	7.98177800206412e-05	"Scaffold"	"  MDR1"	" Training vs Validation"
27	0.0735832083958021	0.488413535130986	"Scaffold"	"  MDR1"	" Training vs Validation"
28	0.0895652173913044	0.252898297846738	"Scaffold"	"  MDR1"	" Training vs Validation"
29	0.187226386806597	0.000240161062227462	"Scaffold"	"  MDR1"	" Training vs Validation"
0	0.0483950500213361	0.724762529262845	"Random"	" CYP2D6"	"Training vs Test"
1	0.0454885970319094	0.791554009357676	"Random"	" CYP2D6"	"Training vs Test"
2	0.0692665117822768	0.280660953298608	"Random"	" CYP2D6"	"Training vs Test"
3	0.0682376369067375	0.297201258064072	"Random"	" CYP2D6"	"Training vs Test"
4	0.0518657247167038	0.641553134352426	"Random"	" CYP2D6"	"Training vs Test"
5	0.0412545635579157	0.87753487709785	"Random"	" CYP2D6"	"Training vs Test"
6	0.0553506234886919	0.558389979210236	"Random"	" CYP2D6"	"Training vs Test"
7	0.0440045517045185	0.823599508496577	"Random"	" CYP2D6"	"Training vs Test"
8	0.0459248020482671	0.781826116565839	"Random"	" CYP2D6"	"Training vs Test"
9	0.0996538808022379	0.0345269376512537	"Random"	" CYP2D6"	"Training vs Test"
10	0.0459579915603812	0.781080863272694	"Random"	" CYP2D6"	"Training vs Test"
11	0.052956237257598	0.615307991811896	"Random"	" CYP2D6"	"Training vs Test"
12	0.0609122374472524	0.434299400952368	"Random"	" CYP2D6"	"Training vs Test"
13	0.0350291593570718	0.963450512655547	"Random"	" CYP2D6"	"Training vs Test"
14	0.0813806837039495	0.133432196877131	"Random"	" CYP2D6"	"Training vs Test"
15	0.0667962638092077	0.321512383407078	"Random"	" CYP2D6"	"Training vs Test"
16	0.0559717415011142	0.543880044686946	"Random"	" CYP2D6"	"Training vs Test"
17	0.0561282063439382	0.540245705851798	"Random"	" CYP2D6"	"Training vs Test"
18	0.0485989284528946	0.719938172947207	"Random"	" CYP2D6"	"Training vs Test"
19	0.0454506661609217	0.792393843937867	"Random"	" CYP2D6"	"Training vs Test"
20	0.0619553363994121	0.41277449399018	"Random"	" CYP2D6"	"Training vs Test"
21	0.0455123038262766	0.791028606658053	"Random"	" CYP2D6"	"Training vs Test"
22	0.0394907780569912	0.907462499487945	"Random"	" CYP2D6"	"Training vs Test"
23	0.054829074012612	0.570667855165835	"Random"	" CYP2D6"	"Training vs Test"
24	0.0539139917500356	0.592386954635472	"Random"	" CYP2D6"	"Training vs Test"
25	0.0624010241335167	0.403770530317509	"Random"	" CYP2D6"	"Training vs Test"
26	0.0846664454032526	0.106776014410689	"Random"	" CYP2D6"	"Training vs Test"
27	0.0618368024275758	0.415188852669964	"Random"	" CYP2D6"	"Training vs Test"
28	0.0677018633540373	0.30608255127697	"Random"	" CYP2D6"	"Training vs Test"
29	0.0306196956047603	0.990845435969532	"Random"	" CYP2D6"	"Training vs Test"
0	0.0524631359347589	0.627162049157345	"Scaffold"	" CYP2D6"	"Training vs Test"
1	0.0549902802143094	0.566864334158558	"Scaffold"	" CYP2D6"	"Training vs Test"
2	0.0602294817694751	0.448720819016475	"Scaffold"	" CYP2D6"	"Training vs Test"
3	0.0835996396567256	0.114900629727025	"Scaffold"	" CYP2D6"	"Training vs Test"
4	0.0840690341851975	0.111265154600262	"Scaffold"	" CYP2D6"	"Training vs Test"
5	0.0435019676639325	0.834031915987254	"Scaffold"	" CYP2D6"	"Training vs Test"
6	0.181025081788441	3.04714467924683e-06	"Scaffold"	" CYP2D6"	"Training vs Test"
7	0.0688065999715518	0.28797095894908	"Scaffold"	" CYP2D6"	"Training vs Test"
8	0.074908728841686	0.201603483274822	"Scaffold"	" CYP2D6"	"Training vs Test"
9	0.0604049120477929	0.444990834260243	"Scaffold"	" CYP2D6"	"Training vs Test"
10	0.118496040965341	0.00643435960164995	"Scaffold"	" CYP2D6"	"Training vs Test"
11	0.0954862263524726	0.048141756637836	"Scaffold"	" CYP2D6"	"Training vs Test"
12	0.0418756815703381	0.866069561913598	"Scaffold"	" CYP2D6"	"Training vs Test"
13	0.0571570812194775	0.516577434157002	"Scaffold"	" CYP2D6"	"Training vs Test"
14	0.097823716277085	0.0400233262739955	"Scaffold"	" CYP2D6"	"Training vs Test"
15	0.0391351761414822	0.912992375853257	"Scaffold"	" CYP2D6"	"Training vs Test"
16	0.100464653169598	0.0323114739475691	"Scaffold"	" CYP2D6"	"Training vs Test"
17	0.1113413304253	0.0126012093084241	"Scaffold"	" CYP2D6"	"Training vs Test"
18	0.0970888056516998	0.0424365579343231	"Scaffold"	" CYP2D6"	"Training vs Test"
19	0.0767910483144469	0.179449141441891	"Scaffold"	" CYP2D6"	"Training vs Test"
20	0.0690247024797307	0.284487533280557	"Scaffold"	" CYP2D6"	"Training vs Test"
21	0.0569389787112986	0.521559708502533	"Scaffold"	" CYP2D6"	"Training vs Test"
22	0.0863780759565692	0.0947379229335772	"Scaffold"	" CYP2D6"	"Training vs Test"
23	0.0549476079844484	0.567870427592027	"Scaffold"	" CYP2D6"	"Training vs Test"
24	0.0420511118486558	0.862750176724255	"Scaffold"	" CYP2D6"	"Training vs Test"
25	0.0955241572234602	0.0479994063896892	"Scaffold"	" CYP2D6"	"Training vs Test"
26	0.0824285240149827	0.124398645676074	"Scaffold"	" CYP2D6"	"Training vs Test"
27	0.0834905884026362	0.115759087325374	"Scaffold"	" CYP2D6"	"Training vs Test"
28	0.0946659712673652	0.0513107129598198	"Scaffold"	" CYP2D6"	"Training vs Test"
29	0.0780522497747855	0.165707430545997	"Scaffold"	" CYP2D6"	"Training vs Test"
0	0.0832352382760585	0.404399072305853	"Random"	" CYP2D6"	" Validation vs Test"
1	0.0557622935257262	0.867795389118876	"Random"	" CYP2D6"	" Validation vs Test"
2	0.0993164989557623	0.20769162676844	"Random"	" CYP2D6"	" Validation vs Test"
3	0.0562939054490222	0.860249556296032	"Random"	" CYP2D6"	" Validation vs Test"
4	0.0590658819062084	0.81822805585352	"Random"	" CYP2D6"	" Validation vs Test"
5	0.0453199164609835	0.97248426555933	"Random"	" CYP2D6"	" Validation vs Test"
6	0.0370609455097779	0.99748328453038	"Random"	" CYP2D6"	" Validation vs Test"
7	0.0520220239225365	0.915333776440553	"Random"	" CYP2D6"	" Validation vs Test"
8	0.073305486994494	0.568305229418	"Random"	" CYP2D6"	" Validation vs Test"
9	0.0900702487184355	0.309622921144121	"Random"	" CYP2D6"	" Validation vs Test"
10	0.0554395291437251	0.872287884871176	"Random"	" CYP2D6"	" Validation vs Test"
11	0.0640022783368141	0.735054580951441	"Random"	" CYP2D6"	" Validation vs Test"
12	0.0595405354091513	0.810633016868356	"Random"	" CYP2D6"	" Validation vs Test"
13	0.0801404974368711	0.45253761681835	"Random"	" CYP2D6"	" Validation vs Test"
14	0.0969812037212835	0.230636341620597	"Random"	" CYP2D6"	" Validation vs Test"
15	0.0692234668691854	0.641439486057443	"Random"	" CYP2D6"	" Validation vs Test"
16	0.0725270552496677	0.582110631242392	"Random"	" CYP2D6"	" Validation vs Test"
17	0.0800645528764002	0.453756621684893	"Random"	" CYP2D6"	" Validation vs Test"
18	0.0856654642111258	0.36882055968358	"Random"	" CYP2D6"	" Validation vs Test"
19	0.055572432124549	0.87044631305393	"Random"	" CYP2D6"	" Validation vs Test"
20	0.0395861021454339	0.99380456293361	"Random"	" CYP2D6"	" Validation vs Test"
21	0.0593696601480918	0.813379266316942	"Random"	" CYP2D6"	" Validation vs Test"
22	0.090905638883615	0.29918008216532	"Random"	" CYP2D6"	" Validation vs Test"
23	0.101955572432125	0.183919021353197	"Random"	" CYP2D6"	" Validation vs Test"
24	0.10290487943801	0.175908048393112	"Random"	" CYP2D6"	" Validation vs Test"
25	0.0862730206948927	0.360245410232969	"Random"	" CYP2D6"	" Validation vs Test"
26	0.0882665654072527	0.33302563933644	"Random"	" CYP2D6"	" Validation vs Test"
27	0.084127586861591	0.391100427407394	"Random"	" CYP2D6"	" Validation vs Test"
28	0.0495538257072338	0.940752604601702	"Random"	" CYP2D6"	" Validation vs Test"
29	0.0506550218340612	0.930032257854183	"Random"	" CYP2D6"	" Validation vs Test"
0	0.0524631359347589	0.627162049157345	"Scaffold"	" CYP2D6"	" Validation vs Test"
1	0.0549902802143094	0.566864334158558	"Scaffold"	" CYP2D6"	" Validation vs Test"
2	0.0602294817694751	0.448720819016475	"Scaffold"	" CYP2D6"	" Validation vs Test"
3	0.0835996396567256	0.114900629727025	"Scaffold"	" CYP2D6"	" Validation vs Test"
4	0.0840690341851975	0.111265154600262	"Scaffold"	" CYP2D6"	" Validation vs Test"
5	0.0435019676639325	0.834031915987254	"Scaffold"	" CYP2D6"	" Validation vs Test"
6	0.181025081788441	3.04714467924683e-06	"Scaffold"	" CYP2D6"	" Validation vs Test"
7	0.0688065999715518	0.28797095894908	"Scaffold"	" CYP2D6"	" Validation vs Test"
8	0.074908728841686	0.201603483274822	"Scaffold"	" CYP2D6"	" Validation vs Test"
9	0.0604049120477929	0.444990834260243	"Scaffold"	" CYP2D6"	" Validation vs Test"
10	0.118496040965341	0.00643435960164995	"Scaffold"	" CYP2D6"	" Validation vs Test"
11	0.0954862263524726	0.048141756637836	"Scaffold"	" CYP2D6"	" Validation vs Test"
12	0.0418756815703381	0.866069561913598	"Scaffold"	" CYP2D6"	" Validation vs Test"
13	0.0571570812194775	0.516577434157002	"Scaffold"	" CYP2D6"	" Validation vs Test"
14	0.097823716277085	0.0400233262739955	"Scaffold"	" CYP2D6"	" Validation vs Test"
15	0.0391351761414822	0.912992375853257	"Scaffold"	" CYP2D6"	" Validation vs Test"
16	0.100464653169598	0.0323114739475691	"Scaffold"	" CYP2D6"	" Validation vs Test"
17	0.1113413304253	0.0126012093084241	"Scaffold"	" CYP2D6"	" Validation vs Test"
18	0.0970888056516998	0.0424365579343231	"Scaffold"	" CYP2D6"	" Validation vs Test"
19	0.0767910483144469	0.179449141441891	"Scaffold"	" CYP2D6"	" Validation vs Test"
20	0.0690247024797307	0.284487533280557	"Scaffold"	" CYP2D6"	" Validation vs Test"
21	0.0569389787112986	0.521559708502533	"Scaffold"	" CYP2D6"	" Validation vs Test"
22	0.0863780759565692	0.0947379229335772	"Scaffold"	" CYP2D6"	" Validation vs Test"
23	0.0549476079844484	0.567870427592027	"Scaffold"	" CYP2D6"	" Validation vs Test"
24	0.0420511118486558	0.862750176724255	"Scaffold"	" CYP2D6"	" Validation vs Test"
25	0.0955241572234602	0.0479994063896892	"Scaffold"	" CYP2D6"	" Validation vs Test"
26	0.0824285240149827	0.124398645676074	"Scaffold"	" CYP2D6"	" Validation vs Test"
27	0.0834905884026362	0.115759087325374	"Scaffold"	" CYP2D6"	" Validation vs Test"
28	0.0946659712673652	0.0513107129598198	"Scaffold"	" CYP2D6"	" Validation vs Test"
29	0.0780522497747855	0.165707430545997	"Scaffold"	" CYP2D6"	" Validation vs Test"
0	0.0912697089902997	0.0672994983117897	"Random"	" CYP2D6"	" Training vs Validation"
1	0.040815646235827	0.886737934488394	"Random"	" CYP2D6"	" Training vs Validation"
2	0.0557470963317824	0.551631301349975	"Random"	" CYP2D6"	" Training vs Validation"
3	0.0453705599710467	0.796098643447183	"Random"	" CYP2D6"	" Training vs Validation"
4	0.0422299790945412	0.860896575679577	"Random"	" CYP2D6"	" Training vs Validation"
5	0.0296533693980275	0.993979635457584	"Random"	" CYP2D6"	" Training vs Validation"
6	0.069454696108918	0.279814237872843	"Random"	" CYP2D6"	" Training vs Validation"
7	0.054961355854719	0.570054840117863	"Random"	" CYP2D6"	" Training vs Validation"
8	0.0881791297805165	0.0843460004343953	"Random"	" CYP2D6"	" Training vs Validation"
9	0.0901934826398976	0.0728686937413947	"Random"	" CYP2D6"	" Training vs Validation"
10	0.0640830884839019	0.37323283292145	"Random"	" CYP2D6"	" Training vs Validation"
11	0.0717547727781402	0.245348110228827	"Random"	" CYP2D6"	" Training vs Validation"
12	0.0586876705413989	0.48471240705487	"Random"	" CYP2D6"	" Training vs Validation"
13	0.0652759853899893	0.350908876542489	"Random"	" CYP2D6"	" Training vs Validation"
14	0.0404251570290439	0.893440671482868	"Random"	" CYP2D6"	" Training vs Validation"
15	0.0604377288766768	0.446776834949455	"Random"	" CYP2D6"	" Training vs Validation"
16	0.0618496807036425	0.41737058466062	"Random"	" CYP2D6"	" Training vs Validation"
17	0.0366321734534008	0.947566510566	"Random"	" CYP2D6"	" Training vs Validation"
