"X"	"metric_score"	"metric_name"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"	"edge_removed"	"edge_pct"
201	0.923020527859238	"AUROC"	"  MDR1"	"RF"	12	"Random"	"cutoff6"	"Y"	6.25
204	0.953542392566783	"AUROC"	"  MDR1"	"RF"	12	"Random"	"cutoff5"	"N"	6.25
205	0.91869918699187	"AUROC"	"  MDR1"	"RF"	12	"Random"	"cutoff5"	"Y"	6.25
206	0.925746268656716	"AUROC"	"  MDR1"	"RF"	12	"Random"	"cutoff7"	"N"	6.25
207	0.926	"AUROC"	"  MDR1"	"RF"	12	"Random"	"cutoff7"	"Y"	6.25
208	0.15625	"AUROC"	"  MDR1"	"RF"	13	"Scaffold"	"cutoff6"	"N"	0
209	0.15625	"AUROC"	"  MDR1"	"RF"	13	"Scaffold"	"cutoff6"	"Y"	0
212	0.435314685314685	"AUROC"	"  MDR1"	"RF"	13	"Scaffold"	"cutoff5"	"N"	0
213	0.435314685314685	"AUROC"	"  MDR1"	"RF"	13	"Scaffold"	"cutoff5"	"Y"	0
214	0.315972222222222	"AUROC"	"  MDR1"	"RF"	13	"Scaffold"	"cutoff7"	"N"	0
215	0.315972222222222	"AUROC"	"  MDR1"	"RF"	13	"Scaffold"	"cutoff7"	"Y"	0
216	0.9921875	"AUROC"	"  MDR1"	"RF"	13	"Random"	"cutoff6"	"N"	3.47222222222222
217	0.993714285714286	"AUROC"	"  MDR1"	"RF"	13	"Random"	"cutoff6"	"Y"	3.47222222222222
220	0.98991935483871	"AUROC"	"  MDR1"	"RF"	13	"Random"	"cutoff5"	"N"	3.47222222222222
221	0.991935483870968	"AUROC"	"  MDR1"	"RF"	13	"Random"	"cutoff5"	"Y"	3.47222222222222
222	0.992739898989899	"AUROC"	"  MDR1"	"RF"	13	"Random"	"cutoff7"	"N"	3.47222222222222
223	0.99245406824147	"AUROC"	"  MDR1"	"RF"	13	"Random"	"cutoff7"	"Y"	3.47222222222222
224	0.824979114452799	"AUROC"	"  MDR1"	"RF"	14	"Scaffold"	"cutoff6"	"N"	12.4137931034483
225	0.944915254237288	"AUROC"	"  MDR1"	"RF"	14	"Scaffold"	"cutoff6"	"Y"	12.4137931034483
228	0.879120879120879	"AUROC"	"  MDR1"	"RF"	14	"Scaffold"	"cutoff5"	"N"	12.4137931034483
229	0.905555555555555	"AUROC"	"  MDR1"	"RF"	14	"Scaffold"	"cutoff5"	"Y"	12.4137931034483
230	0.868613138686131	"AUROC"	"  MDR1"	"RF"	14	"Scaffold"	"cutoff7"	"N"	12.4137931034483
231	0.86922268907563	"AUROC"	"  MDR1"	"RF"	14	"Scaffold"	"cutoff7"	"Y"	12.4137931034483
232	0.976119402985075	"AUROC"	"  MDR1"	"RF"	14	"Random"	"cutoff6"	"N"	2.08333333333333
233	0.977862595419847	"AUROC"	"  MDR1"	"RF"	14	"Random"	"cutoff6"	"Y"	2.08333333333333
236	0.977519379844961	"AUROC"	"  MDR1"	"RF"	14	"Random"	"cutoff5"	"N"	2.08333333333333
237	0.974483204134367	"AUROC"	"  MDR1"	"RF"	14	"Random"	"cutoff5"	"Y"	2.08333333333333
238	0.980246913580247	"AUROC"	"  MDR1"	"RF"	14	"Random"	"cutoff7"	"N"	2.08333333333333
239	0.97979797979798	"AUROC"	"  MDR1"	"RF"	14	"Random"	"cutoff7"	"Y"	2.08333333333333
240	0.945736434108527	"AUROC"	"  MDR1"	"RF"	15	"Scaffold"	"cutoff6"	"N"	0
241	0.945736434108527	"AUROC"	"  MDR1"	"RF"	15	"Scaffold"	"cutoff6"	"Y"	0
244	0.942694663167104	"AUROC"	"  MDR1"	"RF"	15	"Scaffold"	"cutoff5"	"N"	0
245	0.942694663167104	"AUROC"	"  MDR1"	"RF"	15	"Scaffold"	"cutoff5"	"Y"	0
246	0.942307692307692	"AUROC"	"  MDR1"	"RF"	15	"Scaffold"	"cutoff7"	"N"	0
247	0.942307692307692	"AUROC"	"  MDR1"	"RF"	15	"Scaffold"	"cutoff7"	"Y"	0
248	1	"AUROC"	"  MDR1"	"RF"	15	"Random"	"cutoff6"	"N"	5.55555555555556
249	1	"AUROC"	"  MDR1"	"RF"	15	"Random"	"cutoff6"	"Y"	5.55555555555556
252	0.994105263157895	"AUROC"	"  MDR1"	"RF"	15	"Random"	"cutoff5"	"N"	5.55555555555556
253	0.994909090909091	"AUROC"	"  MDR1"	"RF"	15	"Random"	"cutoff5"	"Y"	5.55555555555556
254	0.999253731343284	"AUROC"	"  MDR1"	"RF"	15	"Random"	"cutoff7"	"N"	5.55555555555556
255	1	"AUROC"	"  MDR1"	"RF"	15	"Random"	"cutoff7"	"Y"	5.55555555555556
256	0.90962441314554	"AUROC"	"  MDR1"	"RF"	16	"Scaffold"	"cutoff6"	"N"	0
257	0.90962441314554	"AUROC"	"  MDR1"	"RF"	16	"Scaffold"	"cutoff6"	"Y"	0
260	0.810719131614654	"AUROC"	"  MDR1"	"RF"	16	"Scaffold"	"cutoff5"	"N"	0
261	0.810719131614654	"AUROC"	"  MDR1"	"RF"	16	"Scaffold"	"cutoff5"	"Y"	0
262	0.931924882629108	"AUROC"	"  MDR1"	"RF"	16	"Scaffold"	"cutoff7"	"N"	0
263	0.931924882629108	"AUROC"	"  MDR1"	"RF"	16	"Scaffold"	"cutoff7"	"Y"	0
264	0.999316473000684	"AUROC"	"  MDR1"	"RF"	16	"Random"	"cutoff6"	"N"	2.08333333333333
265	1	"AUROC"	"  MDR1"	"RF"	16	"Random"	"cutoff6"	"Y"	2.08333333333333
268	0.981009726725336	"AUROC"	"  MDR1"	"RF"	16	"Random"	"cutoff5"	"N"	2.08333333333333
269	0.978065241844769	"AUROC"	"  MDR1"	"RF"	16	"Random"	"cutoff5"	"Y"	2.08333333333333
270	0.995061728395062	"AUROC"	"  MDR1"	"RF"	16	"Random"	"cutoff7"	"N"	2.08333333333333
271	0.994949494949495	"AUROC"	"  MDR1"	"RF"	16	"Random"	"cutoff7"	"Y"	2.08333333333333
272	0.996296296296296	"AUROC"	"  MDR1"	"RF"	17	"Scaffold"	"cutoff6"	"N"	1.37931034482759
273	0.996683250414594	"AUROC"	"  MDR1"	"RF"	17	"Scaffold"	"cutoff6"	"Y"	1.37931034482759
276	0.911668484187568	"AUROC"	"  MDR1"	"RF"	17	"Scaffold"	"cutoff5"	"N"	1.37931034482759
277	0.896946564885496	"AUROC"	"  MDR1"	"RF"	17	"Scaffold"	"cutoff5"	"Y"	1.37931034482759
278	0.995915032679739	"AUROC"	"  MDR1"	"RF"	17	"Scaffold"	"cutoff7"	"N"	1.37931034482759
279	0.995854063018242	"AUROC"	"  MDR1"	"RF"	17	"Scaffold"	"cutoff7"	"Y"	1.37931034482759
280	0.907835820895522	"AUROC"	"  MDR1"	"RF"	17	"Random"	"cutoff6"	"N"	5.55555555555556
281	0.857051282051282	"AUROC"	"  MDR1"	"RF"	17	"Random"	"cutoff6"	"Y"	5.55555555555556
284	0.93701171875	"AUROC"	"  MDR1"	"RF"	17	"Random"	"cutoff5"	"N"	5.55555555555556
285	0.8876953125	"AUROC"	"  MDR1"	"RF"	17	"Random"	"cutoff5"	"Y"	5.55555555555556
286	0.847482014388489	"AUROC"	"  MDR1"	"RF"	17	"Random"	"cutoff7"	"N"	5.55555555555556
287	0.848091603053435	"AUROC"	"  MDR1"	"RF"	17	"Random"	"cutoff7"	"Y"	5.55555555555556
288	0.99874686716792	"AUROC"	"  MDR1"	"RF"	18	"Scaffold"	"cutoff6"	"N"	5.51724137931035
289	1	"AUROC"	"  MDR1"	"RF"	18	"Scaffold"	"cutoff6"	"Y"	5.51724137931035
292	0.994485294117647	"AUROC"	"  MDR1"	"RF"	18	"Scaffold"	"cutoff5"	"N"	5.51724137931035
293	0.993055555555556	"AUROC"	"  MDR1"	"RF"	18	"Scaffold"	"cutoff5"	"Y"	5.51724137931035
294	0.995203836930456	"AUROC"	"  MDR1"	"RF"	18	"Scaffold"	"cutoff7"	"N"	5.51724137931035
295	0.994910941475827	"AUROC"	"  MDR1"	"RF"	18	"Scaffold"	"cutoff7"	"Y"	5.51724137931035
296	0.993406593406593	"AUROC"	"  MDR1"	"RF"	18	"Random"	"cutoff6"	"N"	3.47222222222222
297	0.993438320209974	"AUROC"	"  MDR1"	"RF"	18	"Random"	"cutoff6"	"Y"	3.47222222222222
300	0.956521739130435	"AUROC"	"  MDR1"	"RF"	18	"Random"	"cutoff5"	"N"	3.47222222222222
301	0.950872359963269	"AUROC"	"  MDR1"	"RF"	18	"Random"	"cutoff5"	"Y"	3.47222222222222
302	0.993004115226338	"AUROC"	"  MDR1"	"RF"	18	"Random"	"cutoff7"	"N"	3.47222222222222
303	0.992735042735043	"AUROC"	"  MDR1"	"RF"	18	"Random"	"cutoff7"	"Y"	3.47222222222222
304	0.992319508448541	"AUROC"	"  MDR1"	"RF"	19	"Scaffold"	"cutoff6"	"N"	4.82758620689655
305	0.99537037037037	"AUROC"	"  MDR1"	"RF"	19	"Scaffold"	"cutoff6"	"Y"	4.82758620689655
308	0.945539754363284	"AUROC"	"  MDR1"	"RF"	19	"Scaffold"	"cutoff5"	"N"	4.82758620689655
309	0.945378151260504	"AUROC"	"  MDR1"	"RF"	19	"Scaffold"	"cutoff5"	"Y"	4.82758620689655
310	0.996500437445319	"AUROC"	"  MDR1"	"RF"	19	"Scaffold"	"cutoff7"	"N"	4.82758620689655
311	0.996296296296296	"AUROC"	"  MDR1"	"RF"	19	"Scaffold"	"cutoff7"	"Y"	4.82758620689655
312	0.990273274664196	"AUROC"	"  MDR1"	"RF"	19	"Random"	"cutoff6"	"N"	4.16666666666667
313	0.991803278688525	"AUROC"	"  MDR1"	"RF"	19	"Random"	"cutoff6"	"Y"	4.16666666666667
316	0.989236111111111	"AUROC"	"  MDR1"	"RF"	19	"Random"	"cutoff5"	"N"	4.16666666666667
317	0.990277777777778	"AUROC"	"  MDR1"	"RF"	19	"Random"	"cutoff5"	"Y"	4.16666666666667
318	0.988636363636364	"AUROC"	"  MDR1"	"RF"	19	"Random"	"cutoff7"	"N"	4.16666666666667
319	0.988095238095238	"AUROC"	"  MDR1"	"RF"	19	"Random"	"cutoff7"	"Y"	4.16666666666667
320	0.944111232279171	"AUROC"	"  MDR1"	"RF"	20	"Scaffold"	"cutoff6"	"N"	4.13793103448276
321	0.927519379844961	"AUROC"	"  MDR1"	"RF"	20	"Scaffold"	"cutoff6"	"Y"	4.13793103448276
