"X"	"metric_score"	"metric_name"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"	"edge_removed"	"edge_pct"
448	0.938757655293088	"AUROC"	"  MDR1"	"RF"	28	" Scaffold"	"cutoff6"	" Original"	9.6551724137931
449	0.932575757575758	"AUROC"	"  MDR1"	"RF"	28	" Scaffold"	"cutoff6"	"Edge Cases Removed"	9.6551724137931
456	0.994105263157895	"AUROC"	"  MDR1"	"RF"	28	"Random"	"cutoff6"	" Original"	4.16666666666667
457	0.998055420515314	"AUROC"	"  MDR1"	"RF"	28	"Random"	"cutoff6"	"Edge Cases Removed"	4.16666666666667
464	0.929511278195489	"AUROC"	"  MDR1"	"RF"	29	" Scaffold"	"cutoff6"	" Original"	0
465	0.929511278195489	"AUROC"	"  MDR1"	"RF"	29	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
472	0.971781305114638	"AUROC"	"  MDR1"	"RF"	29	"Random"	"cutoff6"	" Original"	2.08333333333333
473	0.969	"AUROC"	"  MDR1"	"RF"	29	"Random"	"cutoff6"	"Edge Cases Removed"	2.08333333333333
8	0.59679203539823	"AUROC"	" CYP2D6"	"RF"	0	"Random"	"cutoff6"	" Original"	0
9	0.59679203539823	"AUROC"	" CYP2D6"	"RF"	0	"Random"	"cutoff6"	"Edge Cases Removed"	0
16	0.732456140350877	"AUROC"	" CYP2D6"	"RF"	1	" Scaffold"	"cutoff6"	" Original"	0
17	0.732456140350877	"AUROC"	" CYP2D6"	"RF"	1	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
24	0.284875183553598	"AUROC"	" CYP2D6"	"RF"	1	"Random"	"cutoff6"	" Original"	0.869565217391304
25	0.332964601769911	"AUROC"	" CYP2D6"	"RF"	1	"Random"	"cutoff6"	"Edge Cases Removed"	0.869565217391304
32	0.853891336270191	"AUROC"	" CYP2D6"	"RF"	2	" Scaffold"	"cutoff6"	" Original"	0
33	0.853891336270191	"AUROC"	" CYP2D6"	"RF"	2	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
40	0.688693098384728	"AUROC"	" CYP2D6"	"RF"	2	"Random"	"cutoff6"	" Original"	0.869565217391304
41	0.939159292035398	"AUROC"	" CYP2D6"	"RF"	2	"Random"	"cutoff6"	"Edge Cases Removed"	0.869565217391304
48	0.470631424375918	"AUROC"	" CYP2D6"	"RF"	3	" Scaffold"	"cutoff6"	" Original"	1.73913043478261
49	0.516741071428571	"AUROC"	" CYP2D6"	"RF"	3	" Scaffold"	"cutoff6"	"Edge Cases Removed"	1.73913043478261
56	0.396929824561403	"AUROC"	" CYP2D6"	"RF"	3	"Random"	"cutoff6"	" Original"	1.30434782608696
57	0.584070796460177	"AUROC"	" CYP2D6"	"RF"	3	"Random"	"cutoff6"	"Edge Cases Removed"	1.30434782608696
64	0.703947368421053	"AUROC"	" CYP2D6"	"RF"	4	" Scaffold"	"cutoff6"	" Original"	1.73913043478261
65	1	"AUROC"	" CYP2D6"	"RF"	4	" Scaffold"	"cutoff6"	"Edge Cases Removed"	1.73913043478261
72	0.989035087719298	"AUROC"	" CYP2D6"	"RF"	4	"Random"	"cutoff6"	" Original"	0
73	0.989035087719298	"AUROC"	" CYP2D6"	"RF"	4	"Random"	"cutoff6"	"Edge Cases Removed"	0
80	0.835730088495575	"AUROC"	" CYP2D6"	"RF"	5	" Scaffold"	"cutoff6"	" Original"	0
81	0.835730088495575	"AUROC"	" CYP2D6"	"RF"	5	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
88	0.853891336270191	"AUROC"	" CYP2D6"	"RF"	5	"Random"	"cutoff6"	" Original"	0.434782608695652
89	0.856194690265487	"AUROC"	" CYP2D6"	"RF"	5	"Random"	"cutoff6"	"Edge Cases Removed"	0.434782608695652
104	0.591042584434655	"AUROC"	" CYP2D6"	"RF"	6	"Random"	"cutoff6"	" Original"	1.30434782608696
105	0.592261904761905	"AUROC"	" CYP2D6"	"RF"	6	"Random"	"cutoff6"	"Edge Cases Removed"	1.30434782608696
112	0.717920353982301	"AUROC"	" CYP2D6"	"RF"	7	" Scaffold"	"cutoff6"	" Original"	0
113	0.717920353982301	"AUROC"	" CYP2D6"	"RF"	7	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
120	0.715124816446402	"AUROC"	" CYP2D6"	"RF"	7	"Random"	"cutoff6"	" Original"	0
121	0.715124816446402	"AUROC"	" CYP2D6"	"RF"	7	"Random"	"cutoff6"	"Edge Cases Removed"	0
128	1	"AUROC"	" CYP2D6"	"RF"	8	" Scaffold"	"cutoff6"	" Original"	0
129	1	"AUROC"	" CYP2D6"	"RF"	8	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
136	0.97503671071953	"AUROC"	" CYP2D6"	"RF"	8	"Random"	"cutoff6"	" Original"	0
137	0.97503671071953	"AUROC"	" CYP2D6"	"RF"	8	"Random"	"cutoff6"	"Edge Cases Removed"	0
144	0.131578947368421	"AUROC"	" CYP2D6"	"RF"	9	" Scaffold"	"cutoff6"	" Original"	0
145	0.131578947368421	"AUROC"	" CYP2D6"	"RF"	9	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
152	0.911504424778761	"AUROC"	" CYP2D6"	"RF"	9	"Random"	"cutoff6"	" Original"	0
153	0.911504424778761	"AUROC"	" CYP2D6"	"RF"	9	"Random"	"cutoff6"	"Edge Cases Removed"	0
160	0.49890350877193	"AUROC"	" CYP2D6"	"RF"	10	" Scaffold"	"cutoff6"	" Original"	0
161	0.49890350877193	"AUROC"	" CYP2D6"	"RF"	10	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
168	0.801777777777778	"AUROC"	" CYP2D6"	"RF"	10	"Random"	"cutoff6"	" Original"	0
169	0.801777777777778	"AUROC"	" CYP2D6"	"RF"	10	"Random"	"cutoff6"	"Edge Cases Removed"	0
176	0.560205580029368	"AUROC"	" CYP2D6"	"RF"	11	" Scaffold"	"cutoff6"	" Original"	0
177	0.560205580029368	"AUROC"	" CYP2D6"	"RF"	11	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
184	0.910087719298246	"AUROC"	" CYP2D6"	"RF"	11	"Random"	"cutoff6"	" Original"	0.434782608695652
185	0.909691629955947	"AUROC"	" CYP2D6"	"RF"	11	"Random"	"cutoff6"	"Edge Cases Removed"	0.434782608695652
192	0.589777777777778	"AUROC"	" CYP2D6"	"RF"	12	" Scaffold"	"cutoff6"	" Original"	0
193	0.589777777777778	"AUROC"	" CYP2D6"	"RF"	12	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
200	0.973799126637555	"AUROC"	" CYP2D6"	"RF"	12	"Random"	"cutoff6"	" Original"	0.869565217391304
201	0.977973568281938	"AUROC"	" CYP2D6"	"RF"	12	"Random"	"cutoff6"	"Edge Cases Removed"	0.869565217391304
208	0.79662261380323	"AUROC"	" CYP2D6"	"RF"	13	" Scaffold"	"cutoff6"	" Original"	1.73913043478261
209	0.991071428571429	"AUROC"	" CYP2D6"	"RF"	13	" Scaffold"	"cutoff6"	"Edge Cases Removed"	1.73913043478261
216	0.425764192139738	"AUROC"	" CYP2D6"	"RF"	13	"Random"	"cutoff6"	" Original"	0.434782608695652
217	0.427631578947368	"AUROC"	" CYP2D6"	"RF"	13	"Random"	"cutoff6"	"Edge Cases Removed"	0.434782608695652
224	0.398026315789474	"AUROC"	" CYP2D6"	"RF"	14	" Scaffold"	"cutoff6"	" Original"	1.73913043478261
225	0.644444444444444	"AUROC"	" CYP2D6"	"RF"	14	" Scaffold"	"cutoff6"	"Edge Cases Removed"	1.73913043478261
240	0.269736842105263	"AUROC"	" CYP2D6"	"RF"	15	" Scaffold"	"cutoff6"	" Original"	0
241	0.269736842105263	"AUROC"	" CYP2D6"	"RF"	15	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
248	0.787077826725404	"AUROC"	" CYP2D6"	"RF"	15	"Random"	"cutoff6"	" Original"	0.434782608695652
249	0.789085545722714	"AUROC"	" CYP2D6"	"RF"	15	"Random"	"cutoff6"	"Edge Cases Removed"	0.434782608695652
256	0.885964912280702	"AUROC"	" CYP2D6"	"RF"	16	" Scaffold"	"cutoff6"	" Original"	0
257	0.885964912280702	"AUROC"	" CYP2D6"	"RF"	16	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
264	0.646017699115044	"AUROC"	" CYP2D6"	"RF"	16	"Random"	"cutoff6"	" Original"	0.869565217391304
265	0.725925925925926	"AUROC"	" CYP2D6"	"RF"	16	"Random"	"cutoff6"	"Edge Cases Removed"	0.869565217391304
272	0.904314159292035	"AUROC"	" CYP2D6"	"RF"	17	" Scaffold"	"cutoff6"	" Original"	0
273	0.904314159292035	"AUROC"	" CYP2D6"	"RF"	17	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
280	0.436681222707424	"AUROC"	" CYP2D6"	"RF"	17	"Random"	"cutoff6"	" Original"	0
281	0.436681222707424	"AUROC"	" CYP2D6"	"RF"	17	"Random"	"cutoff6"	"Edge Cases Removed"	0
288	0.730301089045484	"AUROC"	" CYP2D6"	"RF"	18	" Scaffold"	"cutoff6"	" Original"	0
289	0.730301089045484	"AUROC"	" CYP2D6"	"RF"	18	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
296	0.176855895196506	"AUROC"	" CYP2D6"	"RF"	18	"Random"	"cutoff6"	" Original"	0
297	0.176855895196506	"AUROC"	" CYP2D6"	"RF"	18	"Random"	"cutoff6"	"Edge Cases Removed"	0
304	0.916666666666667	"AUROC"	" CYP2D6"	"RF"	19	" Scaffold"	"cutoff6"	" Original"	0
305	0.916666666666667	"AUROC"	" CYP2D6"	"RF"	19	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
312	0.78928046989721	"AUROC"	" CYP2D6"	"RF"	19	"Random"	"cutoff6"	" Original"	0.434782608695652
313	0.791297935103245	"AUROC"	" CYP2D6"	"RF"	19	"Random"	"cutoff6"	"Edge Cases Removed"	0.434782608695652
320	0.0960698689956331	"AUROC"	" CYP2D6"	"RF"	20	" Scaffold"	"cutoff6"	" Original"	0
321	0.0960698689956331	"AUROC"	" CYP2D6"	"RF"	20	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
328	0.196506550218341	"AUROC"	" CYP2D6"	"RF"	20	"Random"	"cutoff6"	" Original"	0
329	0.196506550218341	"AUROC"	" CYP2D6"	"RF"	20	"Random"	"cutoff6"	"Edge Cases Removed"	0
336	0.663716814159292	"AUROC"	" CYP2D6"	"RF"	21	" Scaffold"	"cutoff6"	" Original"	0
337	0.663716814159292	"AUROC"	" CYP2D6"	"RF"	21	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
344	1	"AUROC"	" CYP2D6"	"RF"	21	"Random"	"cutoff6"	" Original"	0
345	1	"AUROC"	" CYP2D6"	"RF"	21	"Random"	"cutoff6"	"Edge Cases Removed"	0
352	0.80641592920354	"AUROC"	" CYP2D6"	"RF"	22	" Scaffold"	"cutoff6"	" Original"	0
353	0.80641592920354	"AUROC"	" CYP2D6"	"RF"	22	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
360	0.756637168141593	"AUROC"	" CYP2D6"	"RF"	22	"Random"	"cutoff6"	" Original"	1.30434782608696
361	0.938988095238095	"AUROC"	" CYP2D6"	"RF"	22	"Random"	"cutoff6"	"Edge Cases Removed"	1.30434782608696
368	0.172489082969432	"AUROC"	" CYP2D6"	"RF"	23	" Scaffold"	"cutoff6"	" Original"	0.869565217391304
376	0.691885964912281	"AUROC"	" CYP2D6"	"RF"	23	"Random"	"cutoff6"	" Original"	0
377	0.691885964912281	"AUROC"	" CYP2D6"	"RF"	23	"Random"	"cutoff6"	"Edge Cases Removed"	0
384	0.589912280701754	"AUROC"	" CYP2D6"	"RF"	24	" Scaffold"	"cutoff6"	" Original"	0
385	0.589912280701754	"AUROC"	" CYP2D6"	"RF"	24	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
392	0.789823008849557	"AUROC"	" CYP2D6"	"RF"	24	"Random"	"cutoff6"	" Original"	0.869565217391304
393	0.891111111111111	"AUROC"	" CYP2D6"	"RF"	24	"Random"	"cutoff6"	"Edge Cases Removed"	0.869565217391304
400	0.821349557522124	"AUROC"	" CYP2D6"	"RF"	25	" Scaffold"	"cutoff6"	" Original"	0
401	0.821349557522124	"AUROC"	" CYP2D6"	"RF"	25	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
408	0.198689956331878	"AUROC"	" CYP2D6"	"RF"	25	"Random"	"cutoff6"	" Original"	0.434782608695652
416	0.65929203539823	"AUROC"	" CYP2D6"	"RF"	26	" Scaffold"	"cutoff6"	" Original"	0
