"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"3. MACCS"	"0. RDKit Descriptors"	"RMSE"	"Aurora-A"	" Scaffold"	0.604838651327524	"ranksums"	">=0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"RMSE"	"Aurora-A"	" Scaffold"	7.89286156048025e-07	"ranksums"	"<0.05"
"3. MACCS"	"4. AtomPairs"	"RMSE"	"Aurora-A"	" Scaffold"	2.40252813796507e-06	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"RMSE"	"Aurora-A"	" Scaffold"	0.0119589835689516	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"RMSE"	"Aurora-A"	" Scaffold"	0.00221059231642181	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"3. MACCS"	"RMSE"	"Aurora-A"	" Scaffold"	0.604838651327524	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"RMSE"	"Aurora-A"	" Scaffold"	1	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"RMSE"	"Aurora-A"	" Scaffold"	2.28462276218131e-07	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"4. AtomPairs"	"RMSE"	"Aurora-A"	" Scaffold"	8.93338459269216e-05	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"1. MorganBits"	"RMSE"	"Aurora-A"	" Scaffold"	7.04362077704064e-10	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"2. MorganCounts"	"RMSE"	"Aurora-A"	" Scaffold"	2.48787397981522e-10	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"3. MACCS"	"RMSE"	"Aurora-A"	" Scaffold"	7.89286156048025e-07	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"0. RDKit Descriptors"	"RMSE"	"Aurora-A"	" Scaffold"	2.28462276218131e-07	"ranksums"	"<0.05"
